"Tabell 12.2  Investeringsportefølje: prosjekter/effektpakker prioritert for oppstart 2022–2027, periodisering pr. mars 2021. Mill. kroner",,,,,,,
,,,,,,,
Sektor,Korr.,Fylke,Tiltak,Kategori,Stat_22–27,Stat_28–33,Bom_andre_22–33
Vei,5,Rogaland,E134 Helganeskrysset–arm Husøy,Utbedringsprosjekt,130,,
Vei,5,Rogaland,Rv. 13 Lovraeidet–Rødsliane,Skred,200,696,
Vei,5,Viken,Rv. 52 Gol–Vestland grense,Utbedringsprosjekt,453,,
Vei,5,Viken,Rv. 7 Ørgenvika–Svenkerud,Utbedringsprosjekt,500,300,
Jbane,6,Flere,Kombitransport Oslo–Trondheim2,Nye effektpakker,1082,,
Jbane,6,Innlandet,Indre IC Dovrebanen: To tog/t Oslo-Hamar,Fullføre effektpakker,5508,277,
Vei,6,Innlandet,Rv. 3 Østerdalen,Utbedringsprosjekt,553,500,
Vei,6,Møre og Romsdal,E136 Breivika–Lerstad (Bypakke Ålesund),Store prosjekt,445,,1578
Jbane,7,"Nordland, Trøndelag",Kombitransport Trondheim–Bodø1,Nye effektpakker,447,,
Jbane,7,Trøndelag,To tog/t på Trønderbanen,Fullføre effektpakker,1566,340,
Kyst,7,Nordland,Mo i Rana,Innseiling,114,,
Vei,7,Nordland,Rv. 80 Atkomst ny Bodø Lufthavn,Store prosjekt,274,,
Vei,7,Trøndelag,E6 Grong–Nordland,Utbedringsprosjekt,959,1958,
Vei,7,Nordland,Rv. 80 Sandvika–Sagelva,Utbedringsprosjekt,428,,
Luft,7,Nordland,Flytting av Bodø lufthavn,Annet,2850,,
Luft,7,Nordland,Ny lufthavn i Mo i Rana,Annet,1800,,
Kyst,8,Nordland,Andenes,Innseiling,440,,
Kyst,8,Nordland,Røst,Innseiling,165,,
Kyst,8,Troms og Finnmark,Gamvik,Forskuttering,43,29,
Kyst,8,Troms og Finnmark,Kamøyvær,Forskuttering,20,14,
Kyst,8,Troms og Finnmark,Senjahopen,Forskuttering,76,51,
Kyst,8,Troms og Finnmark,Engenes,Forskuttering,57,38,
Kyst,8,Troms og Finnmark,Vardø,Innseiling,65,135,
Kyst,8,Troms og Finnmark,Årviksand,Innseiling,67,,
Kyst,8,Troms og Finnmark,Kjøllefjord,Innseiling,208,,
Kyst,8,Nordland,Værøy,Innseiling,300,74,
Kyst,8,Troms og Finnmark,Leirpollen,Innseiling,109,,
Kyst,8,Nordland,Svolvær–Raftsundet,Farvannstiltak,143,,
Kyst,8,Nordland,Bognes–Tjeldsundet–Harstad,Farvannstiltak,284,,
Kyst,8,Svalbard,Longyearbyen,Havn,406,,
Vei,8,Troms og Finnmark,E45 Kløfta,Skred,1124,,
Vei,8,"Nordland, Troms og Finnmark",Hålogalandsveien (E10/rv. 85 Tjeldsund–Gullesfjordbotn–Langvassbukt),Store prosjekt (OPS),4660,3352,241
Vei,8,Troms og Finnmark,E8 Sørbotn–Laukslett,Store prosjekt,1961,,
Vei,8,Nordland,E6 Megården–Mørsvikbotn,Store prosjekt,9556,,
Vei,8,Nordland,E10 Nappstraumen–Å,Skred,170,1000,
Vei,8,Nordland,E6 Narviktunnelen,Store prosjekt,200,465,285
Vei,8,Troms og Finnmark,Utbedringsstrekninger rv. 94 (Mollstrand–Grøtnes og Akkarfjord–Jansvannet),Utbedringsprosjekt,990,,
Vei,8,Troms og Finnmark,E8 Flyplasstunnelen,Store prosjekt,50,630,1120
Jbane,U3,Flere,Bedre nettdekning,Nye effektpakker,2600,,
Jbane,U3,Flere,Kombitransport Oslo–Narvik via Sverige2,Nye effektpakker,865,1583,
Kollek./vei,U3/4,Vestland,Bybanen til Åsane (tilskudd) og E39 Fløyfjellstunnelen4,50/50-prosjekt/store prosjekt,2780,4926,
Sum,,,,,94951,126736,47249
